id,video_id,likes,replies,comment,source
17,bear1,749,0,いえ東京出没じゃなくても他人事と思った事は一度もありません。亡くなられたお年寄りの方等本心心が痛みます。,youtube
18,bear1,919,0,田舎で農業をしている人たちのおかげで毎日新鮮な食べ物が買える。その人たちが熊に襲われているのに、何故国が動かないのだろうか。国の治安を守るということを第一に考えてほしい。確かにクマに罪はない。それでも農家やその地域の子どもにも罪はない。基本は駆除で、保護したい人は自分で保護しに行ったら良いと思う。,youtube
19,bear1,42,0,ここまで同じタイミングで一斉に街に流れ出てるの凄いな。ただ熊被害で亡くなる人が増える前に対策してほしい,youtube
20,bear1,23,0,以前駆除するの可哀想とか言ってた奴ら、今の状況でも同じこと言えるのかな,youtube
21,bear1,1059,37,「柿の木が有ったら危険です」なんて明らかに異常過ぎる状況。御先祖が大昔に植えてくれた柿をクマ如きの為に伐り倒さなくちゃならないとか、地元の方が不憫すぎる。,youtube
22,bear1,587,5,もう、通り魔以上だよ! 怖い,youtube
23,bear1,689,10,数年前に親戚の隣家のおばさんが襲われて顔面が大きく裂けて今も泣き暮らしてるそうです。駆除を求めます。,youtube
24,bear1,56,2,クマにクマ肉の味を覚えさせればクマの増えすぎ問題は自己解決できる,youtube
25,bear1,596,29,これ放置ならもはや国の存在意義が問われるよ。国民の命を守らずして何の国家か,youtube
26,bear1,397,8,今もし戦争起きても間違いなく国に見捨てられるの何か見えてきたww,youtube
27,bear1,582,4,4:20 深夜ならまだしも6時なんて普通に出歩いてる時間帯やん...,youtube
28,bear1,8,0,東京の田舎だから... って言ってる人危機感なさすぎる。そこまできてるって事をまず認識した方がいいよ。,youtube
29,bear1,316,0,「うわっ!クマや!」って車で撮影しながら追いかけてるけど、その先に歩いてる人おったらどうするんや...,youtube
30,bear1,502,7,山では熊避けに、ベルやラジオを大音量で鳴らしたりするといいとか、犬を連れているといいとか言ってたけど、人の気配を感じると寄ってくるわ、犬は喰われるわでもうなんの意味もないね...。熊からしたら人間自体を餌と思うような反応になってきてて怖い。,youtube

1,bear2,1245,14,被害から10分で駆除とか猟友会プロすぎだろw,youtube
2,bear2,1208,11,ニュース見てると猟友会のハンターって人的被害を起こした熊のほぼ100%を仕留めてるよね。凄くない?,youtube
3,bear2,883,9,眠らせただけの状態でクマに触ったり抱えたりとかよく出来るな。その勇敢さ、尊敬する。,youtube
4,bear2,175,1,ちょっと待て、殺さずに眠らせたまま運ぶんかいwこの工程すんの怖すぎるだろw,youtube
5,bear2,1009,38,一般人にクマの駆除をお願いする以上、危険手当を手厚くして十分な報酬を出すべき。,youtube
6,bear2,336,3,吹き矢を受けても全然気にせずリンゴ食ってて笑った。こいつ駆除しないと来年も絶対このリンゴ園に来るわ,youtube
7,bear2,697,14,こんな凶暴な熊が四六時中ずっと外にいると思ったらノイローゼになるわ,youtube
8,bear2,27,0,ツキノワグマMAXはもはやヒグマだな,youtube
9,bear2,56,0,街中に出てくるのも異常だし、デカさも知ってるツキノワグマのデカさじゃない個体が多すぎる,youtube
10,bear2,472,16,100m7秒台で走る両手に刃物を持った130kgの男が街をうろついてるようなものだよね。,youtube
11,bear2,10,0,猟銃会のみなさんご高齢だけど、老眼が出てそうなのに命中させるのすごい。。,youtube
12,bear2,321,8,林檎の味を覚えたら、もう木の実には戻れない。,youtube
13,bear2,502,13,人がやられるか熊がやられるかの戦争状態と言っていい。駆除されて可哀そうとか言ってる場合じゃない。,youtube
14,bear2,395,5,動かなくてもいつ起きるか分からないし怖いだろ、凄いな,youtube
15,bear2,12,0,こんなでけえ熊が普通にくるの怖すぎる,youtube
16,bear2,222,5,この時期に食い続けるではなく腹が減ったらリンゴ食うとか、もう冬眠する気無かったろ,youtube
17,bear2,12,0,流石に殺処分するべき、こんな怪物と共存なんて出来る訳がない。そしてハンターにはしっかりと報酬を与えないといかんな,youtube
18,bear2,29,0,今まで、民間人である猟友会の皆さんに押し付けてきたいびつな仕組みを根本から変えないといけないと思いました。,youtube
19,bear2,147,9,こんな距離で吹き矢って...... もう日本の法律って本当にアホやな,youtube
20,bear2,14,0,「出血を伴うケガ」を想像するだけでも怖い,youtube
21,bear2,392,9,なんで駆除することに言い訳をしなきゃいけないんだよ。どんどん駆除しろよ。理由なんていらないから。,youtube
22,bear2,138,1,りんご農園さん大人な対応だな、私だったら行政の対応遅くてイラつく,youtube
23,bear2,141,1,1頭いくらって計算もおかしいよ。。1人当たりいくらにしないと大きい熊の駆除になればなるほど人数増えて安くなるやん,youtube
24,bear2,73,4,吹き矢は凄いわ... 当てるスキルも肝の座りっぷりも,youtube
25,bear2,123,3,あんなに近くから吹くんだ。「ん?」というリアクションだったけど、突っ込んできたらひとたまりもない。,youtube
26,bear2,289,9,命には別状はない、片目の眼球破裂、両目とも失明、頭蓋内出血で発話後遺症、大腿骨骨折で寝たきり、鼻を持っていかれて鼻骨形成と皮膚移植、PTSD、でも、命に別状はない,youtube
27,bear2,11,0,寝てるとはいえ、運ぶの怖いだろうな,youtube
28,bear2,30,2,まるまる太って健康そうなカラダしてるじゃねぇか,youtube
29,bear2,33,0,想定外って言葉に価値があるのは優秀な奴だけだ,youtube
30,bear2,293,9,リンゴも高くなってきて人間だって買うのに躊躇するのに好き勝手バクバク食ってて腹立つなw自分が農家だったら頭来て敵わないと分かっててもバットでアタマぶん殴りたくなるわ,youtube
